lat,lon,violation_count,peak_hour_share,near_junction,top_violation,score_density,score_peak,score_junction,congestion_impact_score,priority_rank
12.948,77.58,70,0.5,1.0,NO PARKING,0.0424929178469954,0.49999999949999996,0.9999999989999999,0.4212464585234976,95
12.975,77.571,53,0.5283018867924528,1.0,WRONG PARKING,0.030453257790346706,0.5283018862641509,0.9999999989999999,0.4208870058480035,96
12.93,77.61,59,0.5423728813559322,0.9830508474576272,PARKING IN A MAIN ROAD,0.034702549575046246,0.5423728808135593,0.9830508464745762,0.42074110489260785,97
12.98,77.58,17,0.5882352941176471,1.0,WRONG PARKING,0.004957507082149463,0.5882352935294117,0.9999999989999999,0.4201258119469571,98
12.951,77.539,10,0.6,1.0,NO PARKING,0.0,0.5999999993999999,0.9999999989999999,0.41999999957999995,99
12.979000000000001,77.577,203,0.2512315270935961,1.0,NO PARKING,0.1366855524078352,0.25123152684236455,0.9999999989999999,0.4185890812723905,100
12.975,77.57000000000001,12,0.5833333333333334,1.0,NO PARKING,0.0014164305948998468,0.58333333275,0.9999999989999999,0.4173748815474499,101
13.008000000000001,77.554,176,0.2897727272727273,1.0,WRONG PARKING,0.11756373937668728,0.28977272698295453,0.9999999989999999,0.4167364147849345,102
12.952,77.54,24,0.5416666666666666,1.0,NO PARKING,0.009915014164298927,0.5416666661249999,0.9999999989999999,0.41329084000714944,103
12.99,77.551,55,0.4727272727272727,1.0,WRONG PARKING,0.03186968838524655,0.4727272722545454,0.9999999989999999,0.4104802983435323,104
12.955,77.586,99,0.3939393939393939,1.0,NO PARKING,0.06303116147304318,0.3939393935454545,0.9999999989999999,0.4103034591456125,105
12.953,77.541,67,0.44776119402985076,1.0,NO PARKING,0.04036827195464563,0.44776119358208955,0.9999999989999999,0.4097363743937407,106
12.915000000000001,77.574,11,0.5454545454545454,1.0,NO PARKING,0.0007082152974499234,0.5454545449090908,0.9999999989999999,0.4094450163305431,107
12.906,77.595,11,0.5454545454545454,1.0,NO PARKING,0.0007082152974499234,0.5454545449090908,0.9999999989999999,0.4094450163305431,108
12.947000000000001,77.59,11,0.5454545454545454,1.0,NO PARKING,0.0007082152974499234,0.5454545449090908,0.9999999989999999,0.4094450163305431,109
12.911,77.57600000000001,11,0.5454545454545454,1.0,WRONG PARKING,0.0007082152974499234,0.5454545449090908,0.9999999989999999,0.4094450163305431,110
12.971,77.537,88,0.4090909090909091,1.0,WRONG PARKING,0.05524079320109402,0.4090909086818182,0.9999999989999999,0.4094385780369106,111
12.97,77.57600000000001,644,0.12422360248447205,0.5263975155279503,WRONG PARKING,0.4490084985832514,0.12422360236024843,0.5263975150015527,0.4072682242641412,112
12.979000000000001,77.57300000000001,143,0.3006993006993007,1.0,WRONG PARKING,0.0941926345608398,0.3006993003986014,0.9999999989999999,0.40723617706014015,113
12.961,77.587,37,0.4864864864864865,1.0,WRONG PARKING,0.01912181303114793,0.486486486,0.9999999989999999,0.40685820341557394,114
12.999,77.549,246,0.11382113821138211,1.0,WRONG PARKING,0.16713881019818191,0.11382113809756096,0.9999999989999999,0.4063336324186031,115
12.952,77.541,139,0.302158273381295,1.0,NO PARKING,0.09135977337104012,0.3021582730791367,0.9999999989999999,0.4061115410013474,116
